@relation estimation
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7a numeric
@attribute f7b numeric
@attribute f7c numeric
@attribute f8a numeric
@attribute f8b numeric
@attribute f8c numeric
@attribute f9a numeric
@attribute f9b numeric
@attribute f9c numeric
@attribute f10a numeric
@attribute f10b numeric
@attribute f10c numeric
@attribute f11a numeric
@attribute f11b numeric
@attribute f11c numeric
@attribute f12a numeric
@attribute f12b numeric
@attribute f12c numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25a numeric
@attribute f25b numeric
@attribute f25c numeric
@attribute f25d numeric
@attribute f25e numeric
@attribute f25f numeric
@attribute f26a numeric
@attribute f26b numeric
@attribute f26c numeric
@attribute f26d numeric
@attribute f26e numeric
@attribute f26f numeric
@attribute f27a numeric
@attribute f27b numeric
@attribute f27c numeric
@attribute f27d numeric
@attribute f27e numeric
@attribute f27f numeric
@attribute f28a numeric
@attribute f28b numeric
@attribute f28c numeric
@attribute f28d numeric
@attribute f28e numeric
@attribute f28f numeric
@attribute f29a numeric
@attribute f29b numeric
@attribute f29c numeric
@attribute f29d numeric
@attribute f29e numeric
@attribute f29f numeric
@attribute f30a numeric
@attribute f30b numeric
@attribute f30c numeric
@attribute f30d numeric
@attribute f30e numeric
@attribute f30f numeric
@attribute f31a numeric
@attribute f31b numeric
@attribute f31c numeric
@attribute f31d numeric
@attribute f32a numeric
@attribute f32b numeric
@attribute f32c numeric
@attribute f32d numeric
@attribute f33a numeric
@attribute f33b numeric
@attribute f33c numeric
@attribute f33d numeric
@attribute f34a numeric
@attribute f34b numeric
@attribute f34c numeric
@attribute f34d numeric
@attribute f35a numeric
@attribute f35b numeric
@attribute f35c numeric
@attribute f35d numeric
@attribute f36a numeric
@attribute f36b numeric
@attribute f36c numeric
@attribute f36d numeric
@attribute f37a numeric
@attribute f37b numeric
@attribute f37c numeric
@attribute f37d numeric
@attribute f38a numeric
@attribute f38b numeric
@attribute f38c numeric
@attribute f38d numeric
@attribute f39a numeric
@attribute f39b numeric
@attribute f39c numeric
@attribute f39d numeric
@attribute f40a numeric
@attribute f40b numeric
@attribute f40c numeric
@attribute f40d numeric
@attribute f41a numeric
@attribute f41b numeric
@attribute f41c numeric
@attribute f41d numeric
@attribute f42a numeric
@attribute f42b numeric
@attribute f42c numeric
@attribute f42d numeric
@attribute f43a numeric
@attribute f43b numeric
@attribute f43c numeric
@attribute f43d numeric
@attribute f44a numeric
@attribute f44b numeric
@attribute f44c numeric
@attribute f44d numeric
@attribute f45a numeric
@attribute f45b numeric
@attribute f45c numeric
@attribute f45d numeric
@attribute f46a numeric
@attribute f46b numeric
@attribute f46c numeric
@attribute f46d numeric
@attribute f47a numeric
@attribute f47b numeric
@attribute f47c numeric
@attribute f47d numeric
@attribute f48a numeric
@attribute f48b numeric
@attribute f48c numeric
@attribute f48d numeric
@attribute f49a numeric
@attribute f49b numeric
@attribute f49c numeric
@attribute f49d numeric
@attribute f50a numeric
@attribute f50b numeric
@attribute f50c numeric
@attribute f50d numeric
@attribute f51a numeric
@attribute f51b numeric
@attribute f51c numeric
@attribute f51d numeric
@attribute f52a numeric
@attribute f52b numeric
@attribute f52c numeric
@attribute f52d numeric
@attribute f53a numeric
@attribute f53b numeric
@attribute f53c numeric
@attribute f53d numeric
@attribute f54a numeric
@attribute f54b numeric
@attribute f54c numeric
@attribute f54d numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute class { Positive, Negative}
@data
1.5625,0.52734375,0.5,3.0,8.0,0.3125,1.1,1.9,2.0,0.24,0.54,0.0,0.5,0.5,2.0,2.0,2.5,2.0,5.0,5.0,1.0,0.1375,0.2375,0.05,0.7272727272727273,0.06198347107438016,0.5,1.0,11.0,0.2,0.8333333333333334,0.2222222222222222,0.5,1.5,3.0,0.0625,1.420454545454545,0.8223684210526316,0.78125,0.5789473684210527,0.55,0.95,2.197265625,0.9765624999999999,?,0.4444444444444444,?,?,1.0,1.0,0.25,1.0,0.25,0.25,1.5,1.2,1.5,0.8,1.0,1.25,1.6,1.6,8.0,1.0,5.0,5.0,2.272727272727272,1.315789473684211,6.25,0.5789473684210527,2.75,4.749999999999999,0.7723577235772358,0.9876543209876544,0.761904761904762,1.0,0.5192376842862281,1.506990434142752,0.438450010704346,1.230769230769231,1.0,1.0,1.0,1.0,0.5,0.75,0.6,0.75,0.1578947368421053,0.1875,0.1875,0.25,0.004921259842519685,0.01096491228070175,0.006443298969072165,0.02840909090909091,0.4654545454545455,0.6611570247933884,0.3827751196172249,0.3636363636363636,0.1175390266299357,0.2582644628099173,0.1147842056932966,?,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.4,0.5,1.375,2.2,2.2,11.0,0.64,1.454545454545455,0.8421052631578948,4.0,0.6740576496674058,0.861952861952862,0.6649350649350649,0.8727272727272727,0.144828692931076,0.4203382409282469,0.1222949410022452,0.3432930705657979,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.4,0.5,0.5789473684210527,0.6875,0.6875,0.9166666666666666,0.015748031496063,0.03508771929824561,0.02061855670103093,0.09090909090909091,1.448170731707317,1.303703703703704,1.737142857142857,2.4,1.23217536407767,1.627549668874172,1.065433526011561,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.4210526315789473,0.3125,0.3125,0.08333333333333333,0.02460629921259843,0.4074074074074074,0.5428571428571428,0.2,0.6875,0.4440366972477064,1.0,0.5,0.09090909090909091,0.0625,0.4684129429892142,0.1183917093008002,1.0,0.3333333333333333,0.5789473684210527,0.2711864406779661,Positive
2.7,6.459999999999999,0.5,7.5,5.0,0.5869565217391305,2.5,2.5,?,4.0,0.0,?,0.5,2.5,?,4.5,2.5,?,2.0,1.0,?,0.2173913043478261,0.108695652173913,?,0.5,0.0,0.5,0.5,2.0,0.04347826086956522,0.5,0.0,0.5,0.5,2.0,0.04347826086956522,1.08,1.08,1.0,?,?,?,1.615,?,?,?,?,?,1.0,0.2,0.2,?,?,?,1.666666666666667,3.0,1.8,?,?,?,2.5,5.0,2.0,?,?,?,2.7,5.4,2.0,?,?,?,0.2413793103448276,0.3333333333333333,0.4285714285714285,?,0.0,0.0,0.0,?,1.0,1.0,1.0,?,0.06666666666666667,0.1111111111111111,0.2,?,0.2857142857142857,0.5,0.6666666666666666,?,0.003210272873194221,0.008620689655172414,0.01709401709401709,?,0.1851851851851852,0.2,0.2,?,0.0,0.0,?,?,1.0,1.0,0.2,?,0.06666666666666667,0.1111111111111111,0.2,?,0.4,1.0,2.0,?,0.07407407407407407,0.2,0.4,?,0.2413793103448276,0.3333333333333333,0.4285714285714285,?,0.0,0.0,0.0,?,1.0,1.0,1.0,?,0.06666666666666667,0.1111111111111111,0.2,?,0.2857142857142857,0.5,0.6666666666666666,?,0.003210272873194221,0.008620689655172414,0.01709401709401709,?,1.303448275862069,1.666666666666667,2.142857142857143,?,1.153151183970856,1.333333333333333,0.0,?,1.0,1.0,5.0,?,1.0,1.0,1.0,?,0.7142857142857143,0.5,0.3333333333333333,?,0.04333868378812199,0.8333333333333334,0.7142857142857143,?,0.2608695652173913,0.0,1.0,0.06666666666666667,0.1666666666666667,0.04347826086956522,0.1904761904761905,0.0,1.0,0.06666666666666667,0.25,0.04761904761904762,Positive
1.5625,0.52734375,0.5,2.5,8.0,0.3846153846153846,1.0,1.5,?,0.125,0.0,?,0.5,1.5,?,1.5,1.5,?,4.0,2.0,?,0.1230769230769231,0.09230769230769231,?,0.9444444444444444,0.1358024691358025,0.5,1.5,9.0,0.2615384615384616,0.75,0.0625,0.5,1.0,6.0,0.1384615384615385,1.5625,1.041666666666667,0.6666666666666666,?,?,?,4.21875,?,?,?,?,?,1.0,0.3333333333333333,0.3333333333333333,?,?,?,1.666666666666667,1.666666666666667,1.0,?,?,?,2.0,4.0,2.0,?,?,?,3.125,4.166666666666667,1.333333333333333,?,?,?,0.6071428571428571,0.78,0.7173913043478262,?,0.1505208333333334,0.4694444444444444,0.3980263157894737,?,1.0,1.0,1.0,?,0.4,0.6666666666666666,0.6666666666666666,?,0.3529411764705883,0.4615384615384616,0.5454545454545454,?,0.0108499095840868,0.03249097472924188,0.04245283018867925,?,0.6044444444444445,0.9444444444444444,0.6296296296296297,?,0.2575217192501144,1.08641975308642,?,?,1.0,1.0,0.3333333333333333,?,0.6,1.0,1.0,?,1.125,2.25,4.5,?,0.68,2.125,2.833333333333333,?,0.7645502645502645,0.9822222222222222,0.9033816425120773,?,0.3270576131687243,1.02002743484225,0.8648473034437949,?,1.0,1.0,1.0,?,0.6,1.0,1.0,?,0.5294117647058824,0.6923076923076923,0.8181818181818182,?,0.02049427365883062,0.06137184115523466,0.08018867924528303,?,1.264880952380952,1.04,1.434782608695652,?,1.27001953125,0.9388888888888888,0.0,?,1.0,1.0,3.0,?,1.0,1.0,1.0,?,0.4705882352941176,0.3076923076923077,0.1818181818181818,?,0.03013863773357444,0.32,0.2608695652173913,?,0.6692307692307693,0.1943160813308687,1.0,0.4,0.2068965517241379,0.1384615384615385,0.6780626780626781,0.3401569833944701,1.0,0.6,0.6428571428571429,0.435897435897436,Negative
2.75,2.0625,1.0,5.0,4.0,0.4074074074074074,1.125,?,?,0.109375,?,?,0.5,?,?,1.5,?,?,8.0,?,?,0.3333333333333333,?,?,0.5,0.0,0.5,0.5,1.0,0.01851851851851852,0.9285714285714286,0.3163265306122449,0.5,2.0,7.0,0.2407407407407407,2.444444444444445,?,?,?,?,?,18.85714285714286,?,?,?,?,?,2.0,?,?,?,?,?,3.333333333333333,?,?,?,?,?,0.5,?,?,?,?,?,1.222222222222222,?,?,?,?,?,0.4037267080745342,0.8796992481203008,?,?,0.1285880205740833,2.329313543599258,?,?,1.0,1.0,?,?,0.4,1.333333333333333,?,?,1.4,0.7777777777777778,?,?,0.02184873949579832,0.02669404517453798,?,?,0.1818181818181818,0.4444444444444444,?,?,0.0,0.0,?,?,0.5,1.0,?,?,0.1,0.3333333333333333,?,?,0.25,0.125,?,?,0.04545454545454546,0.05555555555555555,?,?,0.2173913043478261,0.4736842105263158,?,?,0.0,0.0,?,?,1.0,1.0,?,?,0.1,0.3333333333333333,?,?,0.2,0.1111111111111111,?,?,0.001680672268907563,0.002053388090349076,?,?,1.195652173913044,1.06578947368421,?,?,0.8384146341463414,0.8053977272727272,?,?,2.0,1.0,?,?,1.0,1.0,?,?,0.8,0.8888888888888888,?,?,0.03697478991596638,0.9473684210526315,?,?,0.6878306878306878,0.2935745063686727,1.0,0.4,0.35,0.2407407407407407,0.3,0.0,1.0,0.1,0.08333333333333333,0.025,Negative
1.333333333333333,0.3888888888888889,0.5,2.5,6.0,0.4210526315789473,2.5,?,?,4.0,?,?,0.5,?,?,4.5,?,?,2.0,?,?,0.2631578947368421,?,?,?,?,?,?,0.0,0.0,1.0,0.25,0.5,1.5,6.0,0.3157894736842105,0.5333333333333333,?,?,?,?,?,0.09722222222222222,?,?,?,?,?,1.0,?,?,?,?,?,0.5555555555555556,?,?,?,?,?,3.0,?,?,?,?,?,1.6,?,?,?,?,?,0.75,0.4,?,?,0.6428571428571428,0.0625,?,?,1.0,1.0,?,?,0.6,0.3333333333333333,?,?,1.0,3.0,?,?,0.03947368421052631,0.06315789473684211,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,?,?,0.0,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,?,?,0.0,0.0,?,?,1.0,1.0,?,?,1.0,1.0,?,?,1.0,1.0,?,?,1.0,1.0,?,?,1.0,1.0,?,?,0.05263157894736842,1.0,?,?,0.7368421052631579,0.2300469483568075,1.0,0.3333333333333333,0.4285714285714285,0.3157894736842105,?,?,?,?,0.0,0.0,Negative
2.576923076923077,3.263313609467456,1.0,6.5,13.0,0.5726495726495726,1.0,1.375,?,0.0,0.921875,?,1.0,0.5,?,1.0,3.0,?,1.0,4.0,?,0.0170940170940171,0.09401709401709402,?,1.5,0.625,0.5,2.5,4.0,0.1025641025641026,0.9615384615384616,0.363905325443787,0.5,2.5,13.0,0.2136752136752137,2.576923076923077,1.874125874125874,0.7272727272727273,?,?,?,?,3.539865610269783,0.0,?,?,?,1.0,2.0,2.0,?,?,?,6.5,2.166666666666667,0.3333333333333333,?,?,?,13.0,3.25,0.25,?,?,?,33.49999999999999,6.090909090909091,0.1818181818181819,?,?,?,0.4138266796494645,0.6868131868131869,0.6688963210702341,?,0.1276318435112311,0.6738987508218277,0.4681395141387411,?,1.0,1.0,1.0,?,0.3846153846153846,1.0,0.8333333333333334,?,0.7647058823529411,2.6,1.625,?,0.006358896095637797,0.1937984496124031,0.03813882532418002,?,0.582089552238806,1.5,1.090909090909091,?,0.1915231187669991,?,0.6779661016949152,?,0.5,0.5,1.0,?,0.3846153846153846,2.5,0.8333333333333334,?,0.3076923076923077,4.0,1.0,?,0.1791044776119403,5.999999999999999,1.090909090909091,?,0.6455696202531646,1.071428571428571,1.043478260869565,?,0.2192050970873787,1.157407407407407,0.8040201005025126,?,1.0,1.0,1.0,?,0.3846153846153846,1.0,0.8333333333333334,?,0.2352941176470588,0.8,0.5,?,0.003052270125906142,0.09302325581395347,0.01830663615560641,?,1.109055501460565,0.7142857142857143,0.9565217391304348,?,1.144535962543804,0.0,1.185929648241206,?,2.0,2.0,1.0,?,1.0,0.4,1.0,?,0.7647058823529411,0.2,0.5,?,0.01704184153630929,0.1428571428571428,0.4782608695652174,?,0.5752794214332676,0.1782066854561819,1.0,0.3846153846153846,0.3714285714285714,0.2136752136752137,0.6749999999999999,0.2158848614072495,1.0,0.3846153846153846,0.2222222222222222,0.15,Positive
1.5,0.6923076923076923,0.5,3.0,13.0,0.4431818181818182,1.0,1.5,?,0.25,0.2,?,0.5,1.0,?,1.5,2.0,?,2.0,5.0,?,0.04545454545454546,0.1704545454545454,?,0.75,0.1875,0.5,1.5,4.0,0.06818181818181818,1.0,0.25,0.5,2.0,12.0,0.2727272727272727,1.5,1.0,0.6666666666666666,?,?,?,2.769230769230769,3.461538461538461,1.25,?,?,?,1.0,0.5,0.5,?,?,?,2.0,1.5,0.75,?,?,?,6.5,2.6,0.4,?,?,?,9.75,2.6,0.2666666666666667,?,?,?,0.7555555555555555,1.2,0.8571428571428571,?,0.3705128205128205,1.125,0.75,?,1.0,1.0,1.0,?,0.6666666666666666,1.333333333333333,1.0,?,0.7058823529411765,2.0,1.333333333333333,?,0.01393728222996516,0.1318681318681318,0.03603603603603604,?,0.5,0.75,0.5,?,0.2708333333333333,0.75,0.9375,?,1.0,1.0,0.5,?,0.5,1.0,0.75,?,0.3076923076923077,2.0,0.8,?,0.1538461538461538,1.5,0.4,?,0.5666666666666667,0.8999999999999999,0.6428571428571428,?,0.2778846153846154,0.8437499999999999,0.5625,?,1.0,1.0,1.0,?,0.5,1.0,0.75,?,0.2352941176470588,0.6666666666666666,0.4444444444444444,?,0.003484320557491289,0.03296703296703296,0.009009009009009009,?,1.133333333333333,1.2,1.285714285714286,?,1.02603550295858,1.125,0.6000000000000001,?,1.0,1.0,2.0,?,1.0,1.0,1.0,?,0.7647058823529411,0.3333333333333333,0.5555555555555556,?,0.02264808362369338,0.4,0.7142857142857143,?,0.8181818181818181,0.5225806451612904,1.0,0.6666666666666666,0.3333333333333333,0.2727272727272727,0.5172413793103449,0.3424657534246575,1.0,0.5,0.2,0.103448275862069,Positive
1.75,0.5625,0.5,2.5,4.0,0.3888888888888889,1.833333333333333,0.5,?,0.7222222222222223,0.0,?,1.0,0.5,?,3.0,0.5,?,3.0,1.0,?,0.3055555555555556,0.02777777777777778,?,0.5,0.0,0.5,0.5,2.0,0.05555555555555555,1.0,0.375,0.5,2.0,4.0,0.2222222222222222,0.9545454545454546,3.5,3.666666666666667,?,?,?,0.7788461538461537,?,?,?,?,?,0.5,1.0,2.0,?,?,?,0.8333333333333334,5.0,6.0,?,?,?,1.333333333333333,4.0,3.0,?,?,?,1.272727272727273,14.0,11.0,?,?,?,0.75,0.7692307692307692,2.0,?,0.5192307692307693,0.436046511627907,?,?,1.0,1.0,1.0,?,0.8,0.6666666666666666,4.0,?,0.6666666666666666,0.8,1.333333333333333,?,0.03149606299212598,0.04,0.4,?,0.2857142857142857,0.2727272727272728,1.0,?,0.0,0.0,?,?,1.0,0.5,1.0,?,0.2,0.1666666666666667,1.0,?,0.5,0.6666666666666666,2.0,?,0.1428571428571428,0.1818181818181818,2.0,?,0.375,0.3846153846153846,1.0,?,0.0,0.0,?,?,1.0,1.0,1.0,?,0.2,0.1666666666666667,1.0,?,0.3333333333333333,0.4,0.6666666666666666,?,0.007874015748031496,0.01,0.09999999999999999,?,1.3125,1.41025641025641,1.0,?,0.7788461538461539,0.8397932816537469,?,?,1.0,2.0,1.0,?,1.0,1.0,1.0,?,0.6666666666666666,0.6,0.3333333333333333,?,0.05511811023622047,0.8461538461538461,0.3333333333333333,?,0.7777777777777777,0.532608695652174,1.0,0.6666666666666666,0.2857142857142857,0.2222222222222222,0.3076923076923077,0.0,1.0,0.1666666666666667,0.25,0.07692307692307691,Positive
2.0,2.8,0.5,4.5,5.0,0.4166666666666667,2.125,?,?,0.796875,?,?,1.0,?,?,3.5,?,?,4.0,?,?,0.3541666666666667,?,?,0.75,0.0625,0.5,1.0,2.0,0.0625,1.0,0.375,0.5,2.0,4.0,0.1666666666666667,0.9411764705882353,?,?,?,?,?,3.513725490196078,?,?,?,?,?,0.5,?,?,?,?,?,1.285714285714286,?,?,?,?,?,1.25,?,?,?,?,?,1.176470588235294,?,?,?,?,?,0.6086956521739131,0.6,?,?,0.1604803493449782,0.3857142857142857,?,?,1.0,1.0,?,?,0.4444444444444444,0.5714285714285714,?,?,0.5714285714285714,0.6666666666666666,?,?,0.0165631469979296,0.0194647201946472,?,?,0.375,0.3529411764705883,?,?,0.02232142857142857,0.0784313725490196,?,?,1.0,0.5,?,?,0.2222222222222222,0.2857142857142857,?,?,0.4,0.5,?,?,0.15,0.1764705882352941,?,?,0.4565217391304348,0.45,?,?,0.02674672489082969,0.06428571428571428,?,?,1.0,1.0,?,?,0.2222222222222222,0.2857142857142857,?,?,0.2857142857142857,0.3333333333333333,?,?,0.006211180124223602,0.0072992700729927,?,?,1.217391304347826,1.275,?,?,1.19825327510917,0.819642857142857,?,?,1.0,2.0,?,?,1.0,1.0,?,?,0.7142857142857143,0.6666666666666666,?,?,0.04140786749482402,0.85,?,?,0.625,0.2383474576271186,1.0,0.4444444444444444,0.2666666666666667,0.1666666666666667,0.3648648648648649,0.03266129032258065,1.0,0.2222222222222222,0.2222222222222222,0.08108108108108107,Negative
1.5,0.8181818181818182,0.5,3.5,11.0,0.4125,0.75,?,?,0.0625,?,?,0.5,?,?,1.0,?,?,2.0,?,?,0.0375,?,?,0.8333333333333334,0.2222222222222222,0.5,1.5,3.0,0.0625,1.95,3.5225,0.5,7.0,10.0,0.4875,2.0,?,?,?,?,?,13.09090909090909,?,?,?,?,?,1.0,?,?,?,?,?,3.5,?,?,?,?,?,5.5,?,?,?,?,?,11.0,?,?,?,?,?,1.436842105263158,2.4375,?,?,4.602733333333332,22.015625,?,?,1.0,1.0,?,?,2.0,4.666666666666667,?,?,0.7142857142857143,2.0,?,?,0.02943396226415094,0.312,?,?,0.5555555555555556,1.111111111111111,?,?,0.2716049382716049,3.555555555555556,?,?,1.0,1.0,?,?,0.4285714285714285,1.5,?,?,0.2727272727272727,1.5,?,?,0.1515151515151515,1.666666666666667,?,?,0.6140350877192983,1.041666666666667,?,?,0.2903703703703704,1.388888888888889,?,?,1.0,1.0,?,?,0.4285714285714285,1.0,?,?,0.2142857142857143,0.6,?,?,0.003773584905660377,0.04,?,?,1.105263157894737,0.9375,?,?,1.069090909090909,0.390625,?,?,1.0,1.0,?,?,1.0,0.6666666666666666,?,?,0.7857142857142857,0.4,?,?,0.02490566037735849,0.375,?,?,1.2675,1.851640746500778,1.0,1.0,0.3846153846153846,0.4875,0.6018518518518519,0.2866836301950806,1.0,0.4285714285714285,0.2307692307692308,0.1388888888888889,Negative
